Sample ID,Sample Name
Mo_2017_DOM_290,R_PV_3_TFD
Mo_2017_DOM_291,R_TR_1_TFD
Mo_2017_DOM_292,R_TR_2_TFD
Mo_2017_DOM_293,R_TR_3_TFD
Mo_2017_DOM_294,R_WA_1_T0N
Mo_2017_DOM_295,R_WA_2_T0N
Mo_2017_DOM_296,R_WA_3_T0N
Mo_2017_DOM_297,R_WA_1_TFN
Mo_2017_DOM_298,R_WA_2_TFN
Mo_2017_DOM_299,R_WA_3_TFN
Mo_2017_DOM_300,R_PL_1_TFN
Mo_2017_DOM_301,R_PL_2_TFN
Mo_2017_DOM_302,R_PL_3_TFN
Mo_2017_DOM_303,R_DT_1_TFN
Mo_2017_DOM_304,R_DT_2_TFN
Mo_2017_DOM_305,R_DT_3_TFN
Mo_2017_DOM_306,R_CC_1_TFN
Mo_2017_DOM_307,R_CC_2_TFN
Mo_2017_DOM_308,R_CC_3_TFN
Mo_2017_DOM_309,R_PV_1_TFN
Mo_2017_DOM_310,R_PV_2_TFN
Mo_2017_DOM_311,R_PV_3_TFN
Mo_2017_DOM_312,R_TR_1_TFN
Mo_2017_DOM_313,R_TR_2_TFN
Mo_2017_DOM_314,R_TR_3_TFN
Mo_2017_DOM_315,Blank? look up name on PPL
Mo_2017_DOM_316,Blank_SD_XAD
Mo_2017_DOM_317,Blank_SD_C18
Mo_2017_DOM_318,Blank_SD_PPL
Mo_2017_DOM_319,Blank_SD_LoRDI
Mo_2017_DOM_320,Blank_SD_01_A
Mo_2017_DOM_321,Blank_SD_01_B
